Model,MAE,RMSE,R2
Random Forest,36310.51639928696,48355.249161591564,0.4077116009346553
Gradient Boosting,36747.29724513915,48722.00929671941,0.3986928664239223
Voting Regressor,36566.331326174666,48685.09511433362,0.399603680770122
